iter	Passed	Remaining
401	15155	22544
402	15193	22507
403	15232	22471
404	15268	22431
405	15303	22389
406	15336	22345
407	15374	22308
408	15409	22266
409	15448	22230
410	15478	22182
411	15513	22140
412	15547	22098
413	15583	22058
414	15620	22019
415	15651	21972
416	15691	21937
417	15724	21894
418	15758	21850
419	15787	21801
420	15820	21758
421	15856	21718
422	15889	21674
423	15929	21639
424	15956	21587
425	15992	21548
426	16027	21508
427	16057	21459
428	16087	21412
429	16123	21372
430	16158	21331
431	16189	21286
432	16220	21240
433	16252	21195
434	16281	21147
435	16316	21106
436	16351	21066
437	16382	21020
438	16410	20971
439	16443	20928
440	16482	20892
441	16518	20853
442	16551	20810
443	16589	20773
444	16621	20729
445	16656	20689
446	16690	20648
447	16728	20612
448	16763	20571
449	16795	20527
450	16832	20489
451	16862	20443
452	16896	20402
453	16931	20362
454	16964	20320
455	16997	20277
456	17036	20242
457	17070	20201
458	17109	20166
459	17146	20128
460	17183	20090
461	17218	20050
462	17247	20004
463	17281	19963
464	17315	19921
465	17348	19880
466	17379	19835
467	17411	19792
468	17444	19750
469	17477	19708
470	17512	19669
471	17544	19626
472	17580	19587
473	17612	19544
474	17656	19515
475	17688	19472
476	17722	19432
477	17754	19389
478	17788	19348
479	17826	19311
480	17858	19269
481	17889	19225
482	17922	19184
483	17953	19140
484	17992	19105
485	18028	19066
486	18060	19025
487	18094	18984
488	18137	18953
489	18174	18916
490	18211	18879
491	18243	18837
492	18279	18798
493	18315	18760
494	18352	18723
495	18385	18681
496	18415	18637
497	18455	18603
498	18484	18558
499	18524	18524
500	18555	18481
501	18591	18443
502	18631	18409
503	18664	18368
504	18697	18327
505	18739	18295
506	18780	18261
507	18815	18223
508	18845	18179
509	18879	18139
510	18915	18101
511	18949	18061
512	18984	18022
513	19019	17983
514	19050	17940
515	19086	17902
516	19122	17865
517	19152	17821
518	19184	17779
519	19215	17737
520	19259	17706
521	19294	17668
522	19329	17629
523	19361	17587
524	19404	17556
525	19437	17515
526	19468	17473
527	19503	17435
528	19538	17396
529	19575	17359
530	19610	17320
531	19642	17279
532	19675	17239
533	19715	17204
534	19752	17168
535	19786	17128
536	19824	17092
537	19860	17054
538	19900	17020
539	19936	16982
540	19969	16943
541	20000	16900
542	20042	16868
543	20079	16831
544	20113	16792
545	20146	16751
546	20180	16712
547	20218	16676
548	20253	16638
549	20285	16597
550	20315	16555
551	20350	16516
552	20391	16482
553	20424	16442
554	20458	16403
555	20496	16367
556	20532	16330
557	20567	16292
558	20604	16254
559	20636	16214
560	20674	16178
561	20708	16139
562	20740	16098
563	20772	16057
564	20801	16015
565	20838	15978
566	20868	15936
567	20898	15894
568	20928	15852
569	20962	15813
570	21005	15781
571	21058	15757
572	21096	15721
